,PROPERTY_ID,PROPERTY_NAME,PROPERTY_ADDRESS,PROPERTY_CITY,COUNTY_NAME,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,Impr_Rating,Loc_Rating,Property_Overall_Rating,Student_Housing,Affordable_Housing,Military_Housing,Senior_Housing,Fractured_Condo,Adaptive_Reuse,Single_Family_Rental,Mixed_Use,sqft_mixed_use
4845,71_1151553,Foster Street,515 Foster Street,Nashville,Davidson,TN,37207,36.179851,-86.76329,490,0,,C,Prospective,N,,N,N,,,,,,TRUE,"Includes 112,000 Square Feet of Office and 43,000 Square Feet of Retail",,Workforce,,0,,0,0,,,,1,155000
4846,71_1152735,Avana Collins Creek,1157 Bell Road,Antioch,Davidson,TN,37013,36.046966,-86.668522,510,503381,B+,C+,Completed,N,N,N,N,,,,95.3,1355,FALSE,,High Mid-Range,Workforce,,0,0,0,0,,,,0,0
4847,71_1153945,Broadstone Nations,4731 Centennial Blvd,Nashville,Davidson,TN,37209,36.1625,-86.844197,343,0,,C,Under Construction,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4848,71_1154434,Gibson Residences,1117 Church Street,Nashville,Davidson,TN,37203,36.158778,-86.789104,380,0,,B-,Planned,,,,,,,,,,TRUE,"Includes 42,000 Square Feet of Retail",,Low Mid-Range,,,,,,,,,1,42000
4849,71_1154531,Novel Harpeth Heights,615 Old Hickory Blvd,Nashville,Davidson,TN,37209,36.1065754,-86.9226911,322,0,,C+,Under Construction,N,,N,,,,,,,,,,Workforce,,0,,0,,,,,,0
4850,71_1155084,Dickerson Pike,2820 Dickerson Pike,Nashville,Davidson,TN,37207,36.21982,-86.763165,350,0,,C,Prospective,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4851,71_1155423,"Ravelle At Ridgeview, The",Eagle View Blvd & Wild Oaks Court,Antioch,Davidson,TN,37013,36.051284,-86.640578,324,0,,B-,Under Construction,,,,,,,,,,,,,Low Mid-Range,,,,,,,,,,0
4852,71_1155473,Porter Hill,1500 Porter Road,Nashville,Davidson,TN,37206,36.19341,-86.728424,750,0,,C+,Prospective,,P,,,,,,,,TRUE,"Includes 30,000 Square Feet of Retail",,Workforce,,,1,,,,,,1,30000
4853,71_117,Deerfield at Providence,2000 Buckhead Trail,Mount Juliet,Wilson,TN,37122,36.162777,-86.505704,456,462870,A,B,Completed,N,N,N,N,,,,100,1745,FALSE,,Discretionary,Low Mid-Range,,0,0,0,0,,,,0,0
4854,71_1170536,Hobson Flats,1717 Hobson Pike,Antioch,Davidson,TN,37013,36.040357,-86.611211,366,0,,B,Under Construction,,A,,,,,,,,,,,Low Mid-Range,,,1,,,,,,,0
4855,71_1171209,Annandale,1307 Westlawn Blvd,Murfreesboro,Rutherford,TN,37128,35.862313,-86.509935,302,368132,A,B-,Completed,N,N,N,N,,,,98.7,1788,FALSE,,Discretionary,Low Mid-Range,,0,0,0,0,,,,0,0
4856,71_1171532,Nashville Subaru Redevelopment,NEC 16th Avenue North & Broadway,Nashville,Davidson,TN,37203,36.154703,-86.792833,1000,0,,B,Prospective,,,,,,,,,,,,,Low Mid-Range,,,,,,,,,,0
4857,71_1173699,Capitol View Block F East,612 10th Avenue North,Nashville,Davidson,TN,37203,36.166408,-86.790024,330,0,,B+,Prospective,,,,,,,,,,,,,High Mid-Range,,,,,,,,,,0
4858,71_1173750,Alta Depot,101 South Lowry Street,Smyrna,Rutherford,TN,37167,35.9855178,-86.5218786,308,0,,B,Under Construction,,N,,,,,,,,,,,Low Mid-Range,,,0,,,,,,,0
4859,71_1175653,Enclave at Providence,SEC Adams Lane & Central Pike,Mount Juliet,Wilson,TN,37122,36.164989,-86.52322,296,0,,C+,Under Construction,,,,,,,,,,,,,Workforce,,,,,,,,,,0
4860,71_1177584,Revere,2135 Lebanon Road,Lebanon,Wilson,TN,37087,36.230099,-86.358819,492,0,,B,Planned,N,,N,,,,,,,,,,Low Mid-Range,,0,,0,,,,,,0
4861,71_1177927,Fourth Street Residential Project,407 South 4th Street,Nashville,Davidson,TN,37206,36.167323,-86.763571,468,0,,C-,Prospective,,,,,,,,,,,,,Workforce,,,,,,,,,,0
